Lead Name,WhatsApp Number,Email ID,Study Destination,Town,Submission Date,UTM Source,utm_medium,Campaign,Funnel Stage,College,Intake,Assigned To,Community Name,Internal Notes
Tunde Khan,+91 9691180239,tunde.khan13@gmail.com,Canada,Nairobi,5/7/2026,ig,community,scholarship_2026,New,Sheffield Hallam,Jan 2027,Aditi,Community #1,follow up
Ishita Khan,+233 7405639260,ishita.khan81@gmail.com,Australia,Pune,18/6/2026,referral,community,,New,TU Munich,Sep 2026,Chirag,Community #1,asked about visa
Fatima Osei,+92 8835899391,fatima.osei24@gmail.com,UK,Nairobi,18/6/2026,referral,referral,mmt_amber_partnership,New,,Sep 2026,Raj,Community #1,asked about visa
Ishita Singh,+880 8918769399,ishita.singh47@gmail.com,Canada,Dhaka,18/8/2026,whatsapp,referral,aspirants,Lost,Monash,Jan 2027,Neha,Community #2,hot lead
Fatima Bello,+880 7540554833,fatima.bello20@gmail.com,Germany,Lahore,3/8/2026,ig,social,mmt_amber_partnership,Qualified,UBC,Jan 2027,Aditi,Community #1,
Chioma Okonkwo,+91 9395850580,chioma.okonkwo83@gmail.com,Australia,Delhi,16/7/2026,direct,organic,,Qualified,University of Birmingham,Jan 2027,Neha,Community #1,
Kwame Rahman,+234 9419442455,kwame.rahman51@gmail.com,Germany,Accra,2/7/2026,ig,referral,,Booked,,Jan 2027,Chirag,Community #2,hot lead
Mehak Gupta,+234 7494520876,mehak.gupta23@gmail.com,USA,Dhaka,14/8/2026,whatsapp,social,,Lost,NTU,Jan 2027,Neha,Community #1,follow up
Mehak Malik,+233 8044026448,mehak.malik89@gmail.com,Australia,Nairobi,18/7/2026,ig,none,,Booked,ASU,Jan 2027,Raj,Community #2,asked about visa
Chinedu Ahmed,+880 7531824408,chinedu.ahmed44@gmail.com,Australia,Pune,7/6/2026,ig,social,scholarship_2026,Lost,Sheffield Hallam,Jan 2027,Raj,Community #1,follow up
Rahul Verma,+92 8973557731,rahul.verma61@gmail.com,UK,Lagos,13/8/2026,direct,none,,Booked,Monash,Sep 2026,Chirag,Community #1,hot lead
Adaeze Iyer,+233 7075636897,adaeze.iyer68@gmail.com,Canada,Karachi,9/8/2026,referral,social,mmt_amber_partnership,New,Monash,Jan 2027,Chirag,Community #1,follow up
Divya Bello,+92 9085439234,divya.bello79@gmail.com,USA,Dhaka,18/8/2026,direct,referral,scholarship_2026,Lost,Warwick,Jan 2027,Raj,Community #1,hot lead
Kwame Malik,+92 8465455812,kwame.malik47@gmail.com,UK,Dhaka,9/7/2026,ig,referral,,Contacted,UBC,Sep 2026,Aditi,Community #1,asked about visa
Kabir Okonkwo,+977 7392960926,kabir.okonkwo92@gmail.com,USA,Accra,12/8/2026,whatsapp,none,mmt_amber_partnership,New,ASU,Jan 2027,Aditi,Community #1,follow up
Aarav Mensah,+233 9965070994,aarav.mensah84@gmail.com,USA,Nairobi,5/6/2026,referral,none,mmt_amber_partnership,Contacted,,Sep 2026,Raj,Community #1,
Obi Mensah,+880 9856535533,obi.mensah28@gmail.com,UK,Bengaluru,24/8/2026,whatsapp,organic,scholarship_2026,Lost,UBC,Jan 2027,Aditi,Community #1,
Hina Eze,+977 8911577732,hina.eze54@gmail.com,Australia,Karachi,12/8/2026,referral,referral,aspirants,Booked,NTU,Sep 2026,Chirag,Community #1,follow up
Imran Patel,+233 7202352727,imran.patel88@gmail.com,Australia,Mumbai,20/7/2026,referral,none,aspirants,Lost,University of Birmingham,Sep 2026,Chirag,Community #1,
Hamza Reddy,+91 9490318305,hamza.reddy57@gmail.com,Canada,Nairobi,17/6/2026,referral,community,scholarship_2026,Qualified,Warwick,Jan 2027,Chirag,Community #1,follow up
Ishita Patel,+880 8448751416,ishita.patel10@gmail.com,USA,Lahore,5/7/2026,ig,referral,mmt_amber_partnership,New,NTU,Jan 2027,Chirag,Community #1,follow up
Imran Patel,+880 9899773866,imran.patel21@gmail.com,USA,Karachi,8/7/2026,direct,community,,Qualified,ASU,Sep 2026,Neha,Community #1,
Aarav Singh,+233 8502967731,aarav.singh91@gmail.com,UK,Lahore,12/8/2026,google,community,mmt_amber_partnership,Lost,Sheffield Hallam,Sep 2026,Chirag,Community #1,
Priya Iyer,+92 9476526981,priya.iyer55@gmail.com,Canada,Lahore,9/7/2026,whatsapp,community,,Qualified,Sheffield Hallam,Jan 2027,Raj,Community #1,asked about visa
Aarav Okonkwo,+92 7274489715,aarav.okonkwo29@gmail.com,UK,Bengaluru,9/6/2026,ig,none,aspirants,Qualified,,Jan 2027,Neha,Community #1,
Sneha Patel,+234 7858116603,sneha.patel24@gmail.com,USA,Bengaluru,23/8/2026,google,community,scholarship_2026,Qualified,Warwick,Sep 2026,Neha,Community #1,
Aarav Sharma,+977 8656982227,aarav.sharma25@gmail.com,Australia,Accra,2/7/2026,whatsapp,none,aspirants,Booked,Warwick,Jan 2027,Neha,Community #1,follow up
Amara Mensah,+880 8138817128,amara.mensah17@gmail.com,UK,Lagos,7/7/2026,google,none,scholarship_2026,New,Sheffield Hallam,Jan 2027,Neha,Community #1,hot lead
Ayesha Iyer,+92 8460810474,ayesha.iyer34@gmail.com,Canada,Kathmandu,15/6/2026,referral,organic,scholarship_2026,New,Monash,Sep 2026,Neha,Community #1,
Chinedu Kaur,+92 8647495985,chinedu.kaur26@gmail.com,USA,Mumbai,13/7/2026,ig,social,mmt_amber_partnership,New,NTU,Jan 2027,Raj,Community #2,
Sana Nwosu,+91 8918879361,sana.nwosu97@gmail.com,USA,Delhi,10/7/2026,referral,none,mmt_amber_partnership,Booked,NTU,Jan 2027,Chirag,Community #1,asked about visa
Kabir Bello,+234 9981578649,kabir.bello97@gmail.com,Australia,Nairobi,23/8/2026,ig,community,scholarship_2026,New,University of Birmingham,Sep 2026,Chirag,Community #1,
Hamza Reddy,+91 9057012469,hamza.reddy81@gmail.com,Australia,Delhi,27/7/2026,whatsapp,none,mmt_amber_partnership,New,Warwick,Sep 2026,Raj,Community #1,asked about visa
Chinedu Verma,+234 9389836898,chinedu.verma30@gmail.com,Germany,Accra,26/7/2026,direct,social,,Qualified,University of Birmingham,Sep 2026,Raj,Community #1,hot lead
Imran Rahman,+233 8860427490,imran.rahman2@gmail.com,Germany,Pune,21/7/2026,direct,organic,aspirants,Contacted,Warwick,Jan 2027,Neha,Community #2,asked about visa
Fatima Reddy,+234 8021221253,fatima.reddy61@gmail.com,UK,Bengaluru,25/7/2026,direct,social,,Qualified,ASU,Sep 2026,Chirag,Community #1,
Rohan Verma,+92 7434589084,rohan.verma81@gmail.com,Australia,Bengaluru,24/6/2026,ig,organic,scholarship_2026,Booked,Warwick,Jan 2027,Raj,Community #1,
Hamza Gupta,+92 9382828442,hamza.gupta54@gmail.com,Canada,Lahore,22/7/2026,google,social,mmt_amber_partnership,New,UBC,Jan 2027,Aditi,Community #1,follow up
Hina Rahman,+92 8219618516,hina.rahman51@gmail.com,Germany,Nairobi,1/8/2026,ig,organic,,Qualified,University of Birmingham,Jan 2027,Raj,Community #1,hot lead
Sneha Verma,+880 8674351366,sneha.verma25@gmail.com,Canada,Lahore,5/8/2026,ig,none,scholarship_2026,New,University of Birmingham,Jan 2027,Aditi,Community #1,hot lead
Obi Reddy,+234 7559571890,obi.reddy54@gmail.com,Canada,Bengaluru,2/7/2026,google,organic,mmt_amber_partnership,Booked,TU Munich,Jan 2027,Aditi,Community #2,
Ayesha Okonkwo,+234 8640375152,ayesha.okonkwo71@gmail.com,USA,Accra,21/6/2026,google,none,,Contacted,,Sep 2026,Chirag,Community #1,follow up
Chinedu Singh,+234 8206843863,chinedu.singh73@gmail.com,USA,Pune,18/7/2026,direct,none,,Lost,TU Munich,Jan 2027,Neha,Community #1,
Emeka Adeyemi,+234 9250375981,emeka.adeyemi68@gmail.com,USA,Lagos,9/7/2026,google,referral,,Booked,Warwick,Jan 2027,Neha,Community #1,follow up
Chioma Kaur,+233 8605010023,chioma.kaur10@gmail.com,Germany,Mumbai,14/6/2026,direct,none,scholarship_2026,New,TU Munich,Sep 2026,Chirag,Community #1,asked about visa
Divya Khan,+91 9563426469,divya.khan30@gmail.com,Australia,Pune,18/6/2026,google,referral,mmt_amber_partnership,Lost,ASU,Sep 2026,Raj,Community #1,hot lead
Kwame Gupta,+92 7732688782,kwame.gupta1@gmail.com,UK,Mumbai,19/8/2026,google,none,mmt_amber_partnership,Qualified,TU Munich,Jan 2027,Chirag,Community #1,
Sana Rahman,+91 7071335443,sana.rahman64@gmail.com,Germany,Lagos,23/7/2026,google,referral,,Qualified,TU Munich,Jan 2027,Raj,Community #1,asked about visa
Tunde Ahmed,+91 9611848287,tunde.ahmed95@gmail.com,Australia,Lagos,22/7/2026,whatsapp,none,scholarship_2026,Qualified,TU Munich,Sep 2026,Aditi,Community #1,hot lead
Ananya Kaur,+233 7613739271,ananya.kaur63@gmail.com,Germany,Delhi,4/7/2026,ig,community,scholarship_2026,Booked,University of Birmingham,Sep 2026,Raj,Community #1,asked about visa
Priya Iyer,+880 8473351182,priya.iyer94@gmail.com,UK,Lagos,23/6/2026,whatsapp,organic,scholarship_2026,Contacted,,Jan 2027,Raj,Community #1,asked about visa
Hamza Iyer,+91 7009420255,hamza.iyer36@gmail.com,UK,Kathmandu,11/7/2026,direct,social,scholarship_2026,Booked,UBC,Jan 2027,Aditi,Community #1,
Kwame Adeyemi,+233 8462535300,kwame.adeyemi42@gmail.com,Canada,Islamabad,16/8/2026,direct,social,,Contacted,ASU,Sep 2026,Aditi,Community #1,asked about visa
Obi Khan,+92 7638718238,obi.khan78@gmail.com,Canada,Kathmandu,26/6/2026,google,organic,aspirants,Qualified,UBC,Jan 2027,Neha,Community #1,
Sneha Patel,+880 9344771045,sneha.patel50@gmail.com,Canada,Lahore,27/6/2026,direct,referral,,Contacted,University of Birmingham,Jan 2027,Chirag,Community #1,hot lead
Mehak Malik,+91 8677335862,mehak.malik51@gmail.com,USA,Dhaka,15/7/2026,direct,social,aspirants,Booked,,Jan 2027,Chirag,Community #2,
Ananya Okonkwo,+234 7315965189,ananya.okonkwo64@gmail.com,Germany,Karachi,9/6/2026,whatsapp,referral,,Booked,TU Munich,Sep 2026,Neha,Community #1,hot lead
Mehak Verma,+977 7853036108,mehak.verma57@gmail.com,USA,Karachi,9/8/2026,whatsapp,referral,scholarship_2026,Qualified,TU Munich,Jan 2027,Raj,Community #2,hot lead
Rohan Nwosu,+977 9649123178,rohan.nwosu84@gmail.com,Germany,Pune,17/6/2026,ig,social,,Contacted,Warwick,Jan 2027,Raj,Community #1,follow up
Kwame Malik,+233 7636219845,kwame.malik48@gmail.com,Australia,Karachi,2/6/2026,direct,community,mmt_amber_partnership,New,Sheffield Hallam,Jan 2027,Chirag,Community #1,hot lead
Priya Ahmed,+92 7125288567,priya.ahmed94@gmail.com,USA,Pune,5/7/2026,google,none,mmt_amber_partnership,Contacted,Monash,Sep 2026,Chirag,Community #1,asked about visa
Chinedu Ali,+91 9607861812,chinedu.ali85@gmail.com,Australia,Karachi,16/8/2026,referral,social,scholarship_2026,Booked,Monash,Jan 2027,Neha,Community #1,asked about visa
Imran Osei,+92 8356864584,imran.osei3@gmail.com,Canada,Delhi,10/6/2026,whatsapp,none,,Contacted,University of Birmingham,Jan 2027,Chirag,Community #2,
Emeka Adeyemi,+880 9533131305,emeka.adeyemi17@gmail.com,UK,Pune,13/6/2026,referral,referral,,New,UBC,Sep 2026,Chirag,Community #1,hot lead
Ayesha Okonkwo,+91 8257474292,ayesha.okonkwo97@gmail.com,USA,Bengaluru,17/6/2026,whatsapp,social,,Qualified,University of Birmingham,Jan 2027,Raj,Community #1,follow up
Ananya Ahmed,+880 7599584111,ananya.ahmed28@gmail.com,UK,Lahore,13/8/2026,referral,referral,,Qualified,Sheffield Hallam,Sep 2026,Chirag,Community #1,
Divya Khan,+977 9746652493,divya.khan16@gmail.com,Germany,Nairobi,27/8/2026,direct,community,mmt_amber_partnership,Booked,Monash,Sep 2026,Aditi,Community #2,hot lead
Hamza Iyer,+91 7011491119,hamza.iyer63@gmail.com,Germany,Dhaka,17/7/2026,direct,community,,Contacted,Warwick,Jan 2027,Raj,Community #1,follow up
Mehak Okonkwo,+880 8652676867,mehak.okonkwo85@gmail.com,UK,Pune,14/7/2026,whatsapp,social,mmt_amber_partnership,Lost,Sheffield Hallam,Sep 2026,Aditi,Community #1,
Imran Patel,+234 7431274470,imran.patel37@gmail.com,USA,Delhi,20/6/2026,whatsapp,social,mmt_amber_partnership,Lost,Monash,Sep 2026,Neha,Community #1,asked about visa
Rohan Kaur,+234 8939444454,rohan.kaur79@gmail.com,Australia,Dhaka,9/6/2026,google,organic,aspirants,Contacted,NTU,Jan 2027,Chirag,Community #1,hot lead
Kabir Verma,+91 9517479562,kabir.verma7@gmail.com,Canada,Accra,6/7/2026,referral,community,aspirants,Qualified,,Jan 2027,Neha,Community #1,asked about visa
Rahul Adeyemi,+92 9505520667,rahul.adeyemi57@gmail.com,USA,Karachi,19/7/2026,referral,social,mmt_amber_partnership,Lost,Monash,Jan 2027,Neha,Community #1,
Ngozi Malik,+977 8416364747,ngozi.malik66@gmail.com,Canada,Pune,5/6/2026,whatsapp,none,scholarship_2026,Lost,University of Birmingham,Sep 2026,Raj,Community #1,hot lead
Rohan Adeyemi,+233 7734864163,rohan.adeyemi75@gmail.com,Canada,Nairobi,4/7/2026,whatsapp,referral,mmt_amber_partnership,Lost,Warwick,Sep 2026,Chirag,Community #1,follow up
Hamza Patel,+91 9091228965,hamza.patel86@gmail.com,Canada,Lahore,5/8/2026,google,social,aspirants,Lost,UBC,Jan 2027,Aditi,Community #1,follow up
Priya Reddy,+91 8330334334,priya.reddy31@gmail.com,USA,Pune,2/6/2026,ig,social,scholarship_2026,Contacted,ASU,Sep 2026,Aditi,Community #1,hot lead
Sana Khan,+977 9565672642,sana.khan92@gmail.com,Australia,Pune,10/6/2026,direct,none,,New,Warwick,Sep 2026,Chirag,Community #1,hot lead
Priya Patel,+92 9920544511,priya.patel92@gmail.com,UK,Bengaluru,21/6/2026,referral,none,mmt_amber_partnership,Qualified,TU Munich,Sep 2026,Raj,Community #1,hot lead
Imran Ahmed,+234 9444952843,imran.ahmed25@gmail.com,Germany,Kathmandu,27/6/2026,referral,referral,,Lost,Warwick,Jan 2027,Raj,Community #1,asked about visa
Emeka Rahman,+234 8283091608,emeka.rahman75@gmail.com,UK,Nairobi,8/8/2026,whatsapp,referral,aspirants,New,Sheffield Hallam,Sep 2026,Chirag,Community #1,follow up
Aarav Khan,+234 9269594350,aarav.khan82@gmail.com,UK,Islamabad,1/8/2026,ig,social,aspirants,Lost,UBC,Sep 2026,Raj,Community #2,
Kwame Patel,+91 7112893122,kwame.patel12@gmail.com,Canada,Accra,7/6/2026,ig,referral,aspirants,Contacted,Monash,Jan 2027,Neha,Community #2,hot lead
Bilal Rahman,+91 9345458237,bilal.rahman42@gmail.com,Australia,Mumbai,12/6/2026,direct,organic,aspirants,Booked,University of Birmingham,Jan 2027,Raj,Community #1,asked about visa
Zainab Osei,+234 9340921913,zainab.osei74@gmail.com,Canada,Karachi,2/8/2026,direct,social,scholarship_2026,Qualified,University of Birmingham,Sep 2026,Neha,Community #2,
Kabir Iyer,+880 8941655506,kabir.iyer66@gmail.com,Canada,Nairobi,23/7/2026,whatsapp,organic,scholarship_2026,Contacted,Warwick,Sep 2026,Raj,Community #1,asked about visa
Kabir Patel,+977 8070356611,kabir.patel13@gmail.com,Germany,Lahore,18/8/2026,ig,none,aspirants,Qualified,TU Munich,Jan 2027,Neha,Community #2,follow up
Sneha Eze,+234 8741787868,sneha.eze97@gmail.com,Australia,Delhi,21/7/2026,ig,organic,mmt_amber_partnership,Lost,NTU,Jan 2027,Neha,Community #1,asked about visa
Divya Verma,+233 7757026522,divya.verma43@gmail.com,Germany,Delhi,23/7/2026,whatsapp,community,scholarship_2026,Qualified,Monash,Sep 2026,Chirag,Community #1,hot lead
Mehak Iyer,+234 8075034808,mehak.iyer34@gmail.com,UK,Karachi,17/8/2026,ig,referral,,Contacted,NTU,Jan 2027,Neha,Community #2,hot lead
